# HELP process_cpu_user_seconds_total Total user CPU time spent in seconds.
# TYPE process_cpu_user_seconds_total counter
process_heap_bytes{serviceName="user-settings",instanceId="65448d6989e07a1003c057b6207ba34ae800b8decbcb5507bd6afdf0157ca2f0"} 109219840
process_heap_bytes{serviceName="command-message-parser",instanceId="96d3639093d3ac0a96a7303b312023ea298dd054a9ee4586796ed97f8a56dfcc"} 94343168
process_heap_bytes{serviceName="discord-reaction-stream",instanceId="7d4abc0b6e2e9b39de71fabb343364bc083903b11acb7527a987b069126d6277"} 92225536
process_heap_bytes{serviceName="discord-message-stream",instanceId="092e7aecab126fad0c8d74186968d0b10d77f17a9d93ea0009f51cddd1ab1721"} 93036544
process_heap_bytes{serviceName="event-log-settings",instanceId="0c47a22a11d5c4a3f2840b985e6795004f30aebdd80029696173e2988bc205a1"} 109047808
process_heap_bytes{serviceName="discord-member-cache",instanceId="626d19ea1f8fb9e889f1961a358130c0719fcb39e4d9a530d4c85063da97c800"} 99561472
process_heap_bytes{serviceName="user-warnings",instanceId="bf16a8e67b247a28ea4867692a08a022484681945e2e5871df786cb3d4e44372"} 104620032
process_heap_bytes{serviceName="discord-message-cache",instanceId="d274273d6080089f40ed31a524b351d51624d162718cefa9fc31559d622c735a"} 99069952
process_heap_bytes{serviceName="discord-guild-cache",instanceId="fd5663d28ecbce9cd02286cf53a67b211fa3469db1bf7e8ce2df59fbd6b872c8"} 99041280
process_heap_bytes{serviceName="discord-user-cache",instanceId="a0c1cc9f85909c4d3dba25284517a1c1e1f5a6c7f33c11e2b05f50b9bdfd8cbe"} 99033088
process_heap_bytes{serviceName="guild-settings",instanceId="2bea79ad13aad7b339dee3a5b055b2c30ab1351967a0a15a36df64958c02f768"} 109449216
process_heap_bytes{serviceName="discord-role-cache",instanceId="d31af52f0b036ba806cfa3194acfcfe1de3dc439c8eff6b42e9a6fb0d6034ad4"} 99082240
process_heap_bytes{serviceName="discord-presence-cache",instanceId="a5f6d4851812e76e60b6e81877769e1464be8358197420ed043482188529912e"} 99549184
process_heap_bytes{serviceName="timeouts",instanceId="a75166121eb2052d69ce499b658b381d71ec3e9a03bac23ad394b52d29478b6b"} 104902656
process_heap_bytes{serviceName="discord-channel-cache",instanceId="e0240e352a160a90a5de2d77095ccc58bf5f7e861f1e38e7c7001625e8ccda54"} 99627008
process_heap_bytes{serviceName="discord-chatlog",instanceId="d9c72d93c93086f04b857e3265f3f7edb36c6460b788c022fc192681f47d8299"} 98779136
process_heap_bytes{serviceName="discord-gateway-manager",instanceId="d7af06278bad43cad2b9e02cf000e68bb54460a07937076b653da0058322188b"} 118669312
process_heap_bytes{serviceName="discord-gateway-worker",instanceId="d7af06278bad43cad2b9e02cf000e68bb54460a07937076b653da0058322188b(0)"} 119525376

# HELP process_open_fds Number of open file descriptors.
# TYPE process_open_fds gauge
process_open_fds{serviceName="metrics",instanceId="ae0172d73e9af94fe43656632877ab0328f66e1e50f2ca19e15cd85e39b0d125"} 19
process_open_fds{serviceName="discord-proxy",instanceId="71f0d847fd404609308e2d871a1ad6df9caf93d2c61cfed5fd42463a9515e156"} 19
process_open_fds{serviceName="timeout-clock",instanceId="e69b0f96c2acbc01e29ac8aea432cd26942a56cc0ceda874fdc645534f59df83"} 19
process_open_fds{serviceName="image-generator",instanceId="239e2cf968b556bc0299a15a3acc8ef1868ddefa0b8c88d084c05ac3739232bc"} 19
process_open_fds{serviceName="mod-log",instanceId="5fb76ac13a83c3d9a77a232a089f54846fd65dd9958d0015ba2ad91c8cb0fad3"} 19
process_open_fds{serviceName="discord-interaction-stream",instanceId="e71f1d8419bc5b5dc3028baf9e1b179490bb11123e76ee6c220dc934ebcf6702"} 19
process_open_fds{serviceName="user-settings",instanceId="65448d6989e07a1003c057b6207ba34ae800b8decbcb5507bd6afdf0157ca2f0"} 20
process_open_fds{serviceName="command-message-parser",instanceId="96d3639093d3ac0a96a7303b312023ea298dd054a9ee4586796ed97f8a56dfcc"} 19
process_open_fds{serviceName="discord-reaction-stream",instanceId="7d4abc0b6e2e9b39de71fabb343364bc083903b11acb7527a987b069126d6277"} 19
process_open_fds{serviceName="discord-message-stream",instanceId="092e7aecab126fad0c8d74186968d0b10d77f17a9d93ea0009f51cddd1ab1721"} 19
process_open_fds{serviceName="event-log-settings",instanceId="0c47a22a11d5c4a3f2840b985e6795004f30aebdd80029696173e2988bc205a1"} 20
process_open_fds{serviceName="discord-member-cache",instanceId="626d19ea1f8fb9e889f1961a358130c0719fcb39e4d9a530d4c85063da97c800"} 21
process_open_fds{serviceName="user-warnings",instanceId="bf16a8e67b247a28ea4867692a08a022484681945e2e5871df786cb3d4e44372"} 19
process_open_fds{serviceName="discord-message-cache",instanceId="d274273d6080089f40ed31a524b351d51624d162718cefa9fc31559d622c735a"} 21
process_open_fds{serviceName="discord-guild-cache",instanceId="fd5663d28ecbce9cd02286cf53a67b211fa3469db1bf7e8ce2df59fbd6b872c8"} 21
process_open_fds{serviceName="discord-user-cache",instanceId="a0c1cc9f85909c4d3dba25284517a1c1e1f5a6c7f33c11e2b05f50b9bdfd8cbe"} 21
process_open_fds{serviceName="guild-settings",instanceId="2bea79ad13aad7b339dee3a5b055b2c30ab1351967a0a15a36df64958c02f768"} 20
process_open_fds{serviceName="discord-role-cache",instanceId="d31af52f0b036ba806cfa3194acfcfe1de3dc439c8eff6b42e9a6fb0d6034ad4"} 21
process_open_fds{serviceName="discord-presence-cache",instanceId="a5f6d4851812e76e60b6e81877769e1464be8358197420ed043482188529912e"} 21
process_open_fds{serviceName="timeouts",instanceId="a75166121eb2052d69ce499b658b381d71ec3e9a03bac23ad394b52d29478b6b"} 21
process_open_fds{serviceName="discord-channel-cache",instanceId="e0240e352a160a90a5de2d77095ccc58bf5f7e861f1e38e7c7001625e8ccda54"} 21
process_open_fds{serviceName="discord-chatlog",instanceId="d9c72d93c93086f04b857e3265f3f7edb36c6460b788c022fc192681f47d8299"} 20
process_open_fds{serviceName="discord-gateway-manager",instanceId="d7af06278bad43cad2b9e02cf000e68bb54460a07937076b653da0058322188b"} 23
process_open_fds{serviceName="discord-gateway-worker",instanceId="d7af06278bad43cad2b9e02cf000e68bb54460a07937076b653da0058322188b(0)"} 21

# HELP process_max_fds Maximum number of open file descriptors.
# TYPE process_max_fds gauge
process_max_fds{serviceName="metrics",instanceId="ae0172d73e9af94fe43656632877ab0328f66e1e50f2ca19e15cd85e39b0d125"} 1048576
process_max_fds{serviceName="discord-proxy",instanceId="71f0d847fd404609308e2d871a1ad6df9caf93d2c61cfed5fd42463a9515e156"} 1048576
process_max_fds{serviceName="timeout-clock",instanceId="e69b0f96c2acbc01e29ac8aea432cd26942a56cc0ceda874fdc645534f59df83"} 1048576
